game_number,result,your_color,opponent_type,opponent_elo,move_count,moves
4,draw,black,stockfish_elo_1000,1000,0,
2,draw,black,stockfish_elo_1000,1000,0,
1,draw,white,stockfish_elo_1000,1000,1,Nc3
3,draw,white,stockfish_elo_1000,1000,1,e4
6,draw,black,stockfish_elo_1000,1000,0,
5,draw,white,stockfish_elo_1000,1000,1,d4
8,draw,black,stockfish_elo_1000,1000,0,
7,draw,white,stockfish_elo_1000,1000,1,Nf3
9,draw,white,stockfish_elo_1000,1000,1,Nc3
11,draw,white,stockfish_elo_1000,1000,1,Nf3
12,draw,black,stockfish_elo_1000,1000,0,
10,draw,black,stockfish_elo_1000,1000,0,
13,draw,white,stockfish_elo_1000,1000,1,e4
15,draw,white,stockfish_elo_1000,1000,1,Nc3
14,draw,black,stockfish_elo_1000,1000,0,
16,draw,black,stockfish_elo_1000,1000,0,
17,draw,white,stockfish_elo_1000,1000,1,e4
18,draw,black,stockfish_elo_1000,1000,0,
19,draw,white,stockfish_elo_1000,1000,1,Nc3
20,draw,black,stockfish_elo_1000,1000,0,
